2026-06-29T18:17:09+0000 pve-host run_automated.sh[202899]: 2026-06-29T18:17:09.411514Z  INFO warzone_sentinel: [mitigate] [String("shield:normal")]
2026-06-29T18:17:30+0000 pve-host run_automated.sh[202899]: 2026-06-29T18:17:30.039636Z  INFO warzone_sentinel: [mitigate] [String("shield:normal")]
2026-06-29T18:17:30+0000 pve-host run_automated.sh[202899]: 2026-06-29T18:17:30.039682Z  WARN warzone_sentinel: WZ ALERT [HIGH] score=58 phase=in-match (reminder) — Cheater lobby — packet shield active (blocks tiny flood packets; normal aim traffic unchanged).
2026-06-29T18:17:30+0000 pve-host run_automated.sh[202899]: 2026-06-29T18:17:30.134595Z  WARN warzone_sentinel::notify: [ntfy] phone push rejected: HTTP 429 Too Many Requests
2026-06-29T18:17:46+0000 pve-host run_automated.sh[202899]: 2026-06-29T18:17:46.507310Z  INFO warzone_sentinel::network_guard: [network-guard] buffer Kick (wan jitter 0.3ms) — [buffer-tune] applied profile=kick xbox_rtt=3ms ifb_rtt=3ms backlog=65536 xbox=192.0.2.50 wan=eth1 ifb=ifb0
2026-06-29T18:17:46+0000 pve-host run_automated.sh[202899]: 2026-06-29T18:17:46.561601Z  INFO warzone_sentinel::network_guard: [network-guard] flood Shield — [packet-shield-nft] SHIELD (normal/tiny-only) already active — skip rebuild
2026-06-29T18:17:46+0000 pve-host run_automated.sh[202899]: 2026-06-29T18:17:46.581065Z  INFO warzone_sentinel::network_guard: [network-guard] MoCA DSCP EF — moca-qos=ef backend=pve-host xbox=192.0.2.50
2026-06-29T18:17:46+0000 pve-host run_automated.sh[202899]: 2026-06-29T18:17:46.646657Z  INFO warzone_sentinel::network_guard: [network-guard] upload boost — active=1 xbox_ceil=882mbit shaped_mbps=901
2026-06-29T18:17:46+0000 pve-host run_automated.sh[202899]: 2026-06-29T18:17:46.932959Z  INFO warzone_sentinel: [mitigate] [String("shield:normal")]
2026-06-29T18:18:03+0000 pve-host run_automated.sh[202899]: 2026-06-29T18:18:03.560527Z  INFO warzone_sentinel: [mitigate] [String("shield:normal")]
2026-06-29T18:18:24+0000 pve-host run_automated.sh[202899]: 2026-06-29T18:18:24.628858Z  INFO warzone_sentinel: [mitigate] [String("shield:normal")]
2026-06-29T18:18:24+0000 pve-host run_automated.sh[202899]: 2026-06-29T18:18:24.628903Z  WARN warzone_sentinel: WZ ALERT [HIGH] score=58 phase=in-match (reminder) — Cheater lobby — packet shield active (blocks tiny flood packets; normal aim traffic unchanged).
2026-06-29T18:18:24+0000 pve-host run_automated.sh[202899]: 2026-06-29T18:18:24.719961Z  WARN warzone_sentinel::notify: [ntfy] phone push rejected: HTTP 429 Too Many Requests
2026-06-29T18:18:41+0000 pve-host run_automated.sh[202899]: 2026-06-29T18:18:41.394417Z  INFO warzone_sentinel: [mitigate] [String("shield:normal")]
2026-06-29T18:19:02+0000 pve-host run_automated.sh[202899]: 2026-06-29T18:19:02.168557Z  INFO warzone_sentinel: [mitigate] [String("shield:normal")]
2026-06-29T18:19:18+0000 pve-host run_automated.sh[202899]: 2026-06-29T18:19:18.603031Z  INFO warzone_sentinel::network_guard: [network-guard] buffer Kick (wan jitter 0.4ms) — [buffer-tune] applied profile=kick xbox_rtt=3ms ifb_rtt=3ms backlog=65536 xbox=192.0.2.50 wan=eth1 ifb=ifb0
2026-06-29T18:19:18+0000 pve-host run_automated.sh[202899]: 2026-06-29T18:19:18.658650Z  INFO warzone_sentinel::network_guard: [network-guard] flood Shield — [packet-shield-nft] SHIELD (normal/tiny-only) already active — skip rebuild
2026-06-29T18:19:18+0000 pve-host run_automated.sh[202899]: 2026-06-29T18:19:18.678802Z  INFO warzone_sentinel::network_guard: [network-guard] MoCA DSCP EF — moca-qos=ef backend=pve-host xbox=192.0.2.50
2026-06-29T18:19:18+0000 pve-host run_automated.sh[202899]: 2026-06-29T18:19:18.744253Z  INFO warzone_sentinel::network_guard: [network-guard] upload boost — active=1 xbox_ceil=882mbit shaped_mbps=901
2026-06-29T18:19:19+0000 pve-host run_automated.sh[202899]: 2026-06-29T18:19:19.030297Z  INFO warzone_sentinel: [mitigate] [String("shield:normal")]
2026-06-29T18:19:19+0000 pve-host run_automated.sh[202899]: 2026-06-29T18:19:19.030347Z  WARN warzone_sentinel: WZ ALERT [HIGH] score=58 phase=in-match (reminder) — Cheater lobby — packet shield active (blocks tiny flood packets; normal aim traffic unchanged).
2026-06-29T18:19:19+0000 pve-host run_automated.sh[202899]: 2026-06-29T18:19:19.122644Z  WARN warzone_sentinel::notify: [ntfy] phone push rejected: HTTP 429 Too Many Requests
